vertex_index,xVertex_position,yVertex_position,zVertex_position,xNormal,yNormal,zNormal
0,0,0,0,1,0,0
1,0,0,1,1,0,0
2,0,0,2,1,0,0
3,0,0,3,1,0,0
4,0,0,4,1,0,0
5,0,0,5,1,0,0
6,0,0,6,1,0,0
7,0,0,7,1,0,0
8,0,0,8,1,0,0
9,0,0,9,1,0,0
10,0,0,10,1,0,0
11,0,0,11,1,0,0
12,0,0,12,1,0,0
13,0,0,13,1,0,0
14,0,0,14,1,0,0
15,0,0,15,1,0,0
16,0,0,16,1,0,0
17,0,0,17,1,0,0
18,0,0,18,1,0,0
19,0,0,19,1,0,0
20,0,0,20,1,0,0
21,0,0,21,1,0,0
22,0,0,22,1,0,0
23,0,0,23,1,0,0
24,0,0,24,1,0,0
25,0,0,25,1,0,0
26,0,0,26,1,0,0
27,0,0,27,1,0,0
28,0,0,28,1,0,0
29,0,0,29,1,0,0
30,0,0,29,1,0,0
31,0.011444,0,29.99991,0.999738,0,-0.022887
32,0.045769,0,30.99929,0.998952,0,-0.045761
33,0.102959,0,31.99764,0.997643,0,-0.068612
34,0.18298,0,32.99442,0.995812,0,-0.091427
35,0.285793,0,33.98909,0.993459,0,-0.114193
36,0.411346,0,34.98116,0.990585,0,-0.1369
37,0.55957,0,35.97009,0.987192,0,-0.159536
38,0.730389,0,36.95536,0.983282,0,-0.182087
39,0.923714,0,37.93648,0.978858,0,-0.204543
40,1.139442,0,38.91291,0.97392,0,-0.226893
41,1.377457,0,39.88414,0.968472,0,-0.249123
42,1.637642,0,40.84969,0.962517,0,-0.271223
43,1.919857,0,41.80902,0.956057,0,-0.29318
44,2.223949,0,42.76163,0.949097,0,-0.314984
45,2.54977,0,43.70704,0.941639,0,-0.336623
46,2.897141,0,44.64475,0.933689,0,-0.358086
47,3.265877,0,45.57425,0.925249,0,-0.379361
48,3.655796,0,46.49508,0.916324,0,-0.400438
49,4.066689,0,47.40675,0.906919,0,-0.421304
50,4.498329,0,48.30876,0.89704,0,-0.44195
51,4.950508,0,49.20067,0.88669,0,-0.462365
52,5.422981,0,50.08199,0.875876,0,-0.482537
53,5.915497,0,50.95226,0.864603,0,-0.502456
54,6.427803,0,51.81104,0.852877,0,-0.522112
55,6.959633,0,52.65788,0.840704,0,-0.541495
56,7.510696,0,53.4923,0.828091,0,-0.560594
