time,fixedTime,deltaTime,smoothDeltaTime,realtimeSinceStartup,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,car_speed,car_vel_x,car_vel_y,car_vel_z,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
475.9641,475.96,0.012803,0.014588,486.5077,-71.97761,0,904.826,2.152712,2.152712,-0.866103,NaN,NaN,NaN,NaN,0,20.1,16.39582,0,-11.62701,-0.5785,0,0.8157,-71.9776,0,1,0,0,-0.8157,0,-0.5785,904.826,0,0,0,1
475.9909,475.99,0.026715,0.017014,486.5263,-71.48563,0,904.4774,2.164735,2.164735,-0.950332,NaN,NaN,NaN,NaN,0,20.1,16.4016,0,-11.61885,-0.5781,0,0.816,-71.4856,0,1,0,0,-0.816,0,-0.5781,904.4774,0,0,0,1
476.0035,476,0.012636,0.016138,486.5382,-71.32158,0,904.3612,2.168718,2.168718,-1.10414,NaN,NaN,NaN,NaN,0,20.1,16.40384,0,-11.61569,-0.5779,0,0.8161,-71.3216,0,1,0,0,-0.8161,0,-0.5779,904.3612,0,0,0,1
476.0173,476.01,0.013783,0.015667,486.5519,-71.15752,0,904.2451,2.172628,2.172628,-1.210349,NaN,NaN,NaN,NaN,0,20.1,16.40629,0,-11.61222,-0.5777,0,0.8162,-71.1575,0,1,0,0,-0.8162,0,-0.5777,904.2451,0,0,0,1
476.0301,476.03,0.012789,0.015092,486.5651,-70.82931,0,904.013,2.180175,2.180175,-1.342185,NaN,NaN,NaN,NaN,0,20.1,16.41173,0,-11.60453,-0.5773,0,0.8165,-70.8293,0,1,0,0,-0.8165,0,-0.5773,904.013,0,0,0,1
476.0503,476.05,0.020176,0.016108,486.5853,-70.50098,0,903.781,2.187682,2.187682,-1.466696,NaN,NaN,NaN,NaN,0,20.1,16.41767,0,-11.59613,-0.5769,0,0.8168,-70.501,0,1,0,0,-0.8168,0,-0.5769,903.781,0,0,0,1
476.0629,476.06,0.01264,0.015415,486.5974,-70.33677,0,903.665,2.191369,2.191369,-1.741362,NaN,NaN,NaN,NaN,0,20.1,16.4212,0,-11.59114,-0.5767,0,0.817,-70.3368,0,1,0,0,-0.817,0,-0.5767,903.665,0,0,0,1
476.0752,476.07,0.012318,0.014795,486.61,-70.17252,0,903.5492,2.194915,2.194915,-1.898832,NaN,NaN,NaN,NaN,0,20.1,16.42504,0,-11.5857,-0.5764,0,0.8172,-70.1725,0,1,0,0,-0.8172,0,-0.5764,903.5492,0,0,0,1
476.0885,476.08,0.013265,0.014489,486.6231,-70.00822,0,903.4334,2.19839,2.19839,-2.10391,NaN,NaN,NaN,NaN,0,20.1,16.42929,0,-11.57966,-0.5761,0,0.8174,-70.0082,0,1,0,0,-0.8174,0,-0.5761,903.4334,0,0,0,1
476.1021,476.1,0.01362,0.014315,486.6371,-69.6795,0,903.202,2.205165,2.205165,-2.272375,NaN,NaN,NaN,NaN,0,20.1,16.43847,0,-11.56663,-0.5755,0,0.8178,-69.6795,0,1,0,0,-0.8178,0,-0.5755,903.202,0,0,0,1
