experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,turn_direction,turn_radius,obstacle_visibility,divergence,speed_level,speed_LvCounter,carSpeed,steerAngleAtTrialStart,x_rotAtTrialStart,y_rotAtTrialStart,z_rotAtTrialStart,cws_threshold_detection_distance,cws_warning_volume,cws_sensing_type,cws_warning_type,collision_has_occurred,time_of_collision,time_of_warning,road_vertices_location_0,roadTransformMat_location_0,simplecar_carTransformMatrix_location_0
cws_2,ImergenWstopsFull,1,1,1,1,94.68,100.65,left,52.64092,0,0.32,0,0,20.1,0.177612,0,0.008474,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T001.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T001.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T001.csv
cws_2,ImergenWstopsFull,1,2,1,2,102.11,108.01,left,52.64092,0,1.22,0,1,20.1,0.335083,0,-0.51423,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T002.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T002.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T002.csv
cws_2,ImergenWstopsFull,1,3,1,3,109.47,115.37,left,52.64092,0,1.44,0,1,20.1,1.400771,0,-0.897212,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T003.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T003.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T003.csv
cws_2,ImergenWstopsFull,1,4,1,4,116.84,122.51,right,63.13271,0.03,2.61,0,1,20.1,-0.071411,0,-0.995377,0,20,0.5,distance_threshold,auditory loom,False,NaN,123.9771,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T004.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T004.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T004.csv
cws_2,ImergenWstopsFull,1,5,1,5,123.98,133.69,left,64.29504,0.3,1.87,0,1,20.1,0.045776,0,-0.936238,0,20,0.5,distance_threshold,auditory loom,False,NaN,135.1464,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T005.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T005.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T005.csv
cws_2,ImergenWstopsFull,1,6,1,6,135.16,144.93,left,64.29504,0.3,2.22,0,1,20.1,0.752578,0,-0.995753,0,20,0.5,distance_threshold,auditory loom,True,141.55,146.3903,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T006.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T006.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T006.csv
cws_2,ImergenWstopsFull,1,7,1,7,146.4,156.56,left,52.93988,1,2.4,0,1,20.1,1.126113,0,-0.849019,0,20,0.5,distance_threshold,auditory loom,True,152.68,158.0122,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T007.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T007.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T007.csv
cws_2,ImergenWstopsFull,1,8,1,8,158.02,168.4,left,57.49502,0.03,1.97,0,1,20.1,1.17372,0,-0.442642,0,20,0.5,distance_threshold,auditory loom,True,164.7,169.8695,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T008.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T008.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T008.csv
cws_2,ImergenWstopsFull,1,9,1,9,169.87,180.07,left,52.64092,0,2.02,0,1,20.1,0.162964,0,0.05839,0,20,0.5,distance_threshold,auditory loom,True,176.24,176.236,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T009.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T009.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T009.csv
cws_2,ImergenWstopsFull,1,10,1,10,181.54,187.44,left,52.64092,0,1.86,0,1,20.1,-0.027466,0,0.57899,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T010.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T010.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T010.csv
cws_2,ImergenWstopsFull,1,11,1,11,188.91,194.58,right,63.13271,0.03,2.73,0,1,20.1,1.917143,0,0.924164,0,20,0.5,distance_threshold,auditory loom,False,NaN,196.0367,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T011.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T011.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T011.csv
cws_2,ImergenWstopsFull,1,12,1,12,196.05,206.13,left,52.64092,0,2.39,0,1,20.1,0.078735,0,0.650482,0,20,0.5,distance_threshold,auditory loom,True,201.95,201.933,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T012.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T012.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T012.csv
cws_2,ImergenWstopsFull,1,13,1,13,207.6,213.29,right,63.13271,0.03,2.38,0,1,20.1,1.349502,0,0.956564,0,20,0.5,distance_threshold,auditory loom,False,NaN,214.7532,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T013.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T013.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T013.csv
