vertex_index,xVertex_position,yVertex_position,zVertex_position,xNormal,yNormal,zNormal
0,0,0,0,1,0,0
1,0,0,1,1,0,0
2,0,0,2,1,0,0
3,0,0,3,1,0,0
4,0,0,4,1,0,0
5,0,0,5,1,0,0
6,0,0,6,1,0,0
7,0,0,7,1,0,0
8,0,0,8,1,0,0
9,0,0,9,1,0,0
10,0,0,10,1,0,0
11,0,0,11,1,0,0
12,0,0,12,1,0,0
13,0,0,13,1,0,0
14,0,0,14,1,0,0
15,0,0,15,1,0,0
16,0,0,16,1,0,0
17,0,0,17,1,0,0
18,0,0,18,1,0,0
19,0,0,19,1,0,0
20,0,0,20,1,0,0
21,0,0,21,1,0,0
22,0,0,22,1,0,0
23,0,0,23,1,0,0
24,0,0,24,1,0,0
25,0,0,25,1,0,0
26,0,0,26,1,0,0
27,0,0,27,1,0,0
28,0,0,28,1,0,0
29,0,0,29,1,0,0
30,0,0,29,1,0,0
31,-0.009823,0,29.99994,0.999807,0,0.019645
32,-0.039288,0,30.99949,0.999228,0,0.039283
33,-0.088383,0,31.99826,0.998264,0,0.058905
34,-0.157089,0,32.99588,0.996914,0,0.078505
35,-0.245384,0,33.99196,0.995179,0,0.098075
36,-0.35323,0,34.98611,0.99306,0,0.117606
37,-0.480579,0,35.97795,0.990558,0,0.137092
38,-0.627396,0,36.9671,0.987674,0,0.156526
39,-0.79361,0,37.95317,0.984408,0,0.175899
40,-0.979172,0,38.93579,0.980763,0,0.195204
41,-1.183994,0,39.91457,0.976739,0,0.214433
42,-1.408009,0,40.88914,0.972338,0,0.23358
43,-1.651123,0,41.85912,0.967561,0,0.252637
44,-1.91325,0,42.82414,0.962411,0,0.271596
45,-2.194283,0,43.78382,0.95689,0,0.290451
46,-2.494114,0,44.7378,0.950999,0,0.309193
47,-2.812626,0,45.6857,0.944742,0,0.327816
48,-3.149704,0,46.62716,0.938119,0,0.346312
49,-3.505207,0,47.56182,0.931135,0,0.364675
50,-3.879005,0,48.48931,0.923791,0,0.382897
51,-4.27095,0,49.40928,0.916091,0,0.400971
52,-4.680897,0,50.32137,0.908037,0,0.41889
53,-5.108677,0,51.22524,0.899632,0,0.436648
54,-5.554134,0,52.12053,0.890881,0,0.454238
55,-6.017094,0,53.00689,0.881785,0,0.471651
56,-6.497375,0,53.88398,0.872349,0,0.488883
