time,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
166.5015,44.99373,0,-666.2578,2.447867,2.447867,-4.744334,-7.849244,0.25,-694.3531,59.50953,0,-0.3136,0,-0.9496,44.9937,0,1,0,0,0.9496,0,-0.3136,-666.2578,0,0,0,1
166.5126,44.75642,0,-666.3364,2.454258,2.454258,-5.121539,-7.849244,0.25,-694.3531,59.26302,0,-0.3145,0,-0.9493,44.7564,0,1,0,0,0.9493,0,-0.3145,-666.3364,0,0,0,1
166.5236,44.51917,0,-666.4153,2.460413,2.460413,-5.326617,-7.849244,0.25,-694.3531,59.0165,0,-0.3153,0,-0.949,44.5192,0,1,0,0,0.949,0,-0.3153,-666.4153,0,0,0,1
166.5353,44.28201,0,-666.4944,2.466256,2.466256,-5.678186,-7.849244,0.25,-694.3531,58.76996,0,-0.3163,0,-0.9487,44.282,0,1,0,0,0.9487,0,-0.3163,-666.4944,0,0,0,1
166.5462,44.04492,0,-666.5737,2.471961,2.471961,-5.850306,-7.849244,0.25,-694.3531,58.52343,0,-0.3173,0,-0.9483,44.0449,0,1,0,0,0.9483,0,-0.3173,-666.5737,0,0,0,1
166.5568,43.80792,0,-666.6533,2.477342,2.477342,-6.132295,-7.849244,0.25,-694.3531,58.27687,0,-0.3183,0,-0.948,43.8079,0,1,0,0,0.948,0,-0.3183,-666.6533,0,0,0,1
166.5681,43.57101,0,-666.733,2.482472,2.482472,-6.308076,-7.849244,0.25,-694.3531,58.03032,0,-0.3193,0,-0.9476,43.571,0,1,0,0,0.9476,0,-0.3193,-666.733,0,0,0,1
166.5792,43.33419,0,-666.8132,2.487207,2.487207,-6.520486,-7.849244,0.25,-694.3531,57.78368,0,-0.3204,0,-0.9473,43.3342,0,1,0,0,0.9473,0,-0.3204,-666.8132,0,0,0,1
166.5911,42.86083,0,-666.9742,2.496089,2.496089,-6.663308,-7.849244,0.25,-694.3531,57.29049,0,-0.3226,0,-0.9465,42.8608,0,1,0,0,0.9465,0,-0.3226,-666.9742,0,0,0,1
166.6063,42.62429,0,-667.0551,2.499986,2.499986,-6.853745,-7.849244,0.25,-694.3531,57.04384,0,-0.3237,0,-0.9462,42.6243,0,1,0,0,0.9462,0,-0.3237,-667.0551,0,0,0,1
166.616,42.38785,0,-667.1364,2.503618,2.503618,-6.926987,-7.849244,0.25,-694.3531,56.79716,0,-0.3249,0,-0.9458,42.3879,0,1,0,0,0.9458,0,-0.3249,-667.1364,0,0,0,1
166.6245,42.15151,0,-667.2179,2.506926,2.506926,-6.981919,-7.849244,0.25,-694.3531,56.55046,0,-0.326,0,-0.9454,42.1515,0,1,0,0,0.9454,0,-0.326,-667.2179,0,0,0,1
166.636,41.91527,0,-667.2996,2.510038,2.510038,-7.01854,-7.849244,0.25,-694.3531,56.30379,0,-0.3272,0,-0.945,41.9153,0,1,0,0,0.945,0,-0.3272,-667.2996,0,0,0,1
166.6436,41.67913,0,-667.3817,2.512761,2.512761,-7.029526,-7.849244,0.25,-694.3531,56.05705,0,-0.3283,0,-0.9446,41.6791,0,1,0,0,0.9446,0,-0.3283,-667.3817,0,0,0,1
166.6546,41.44309,0,-667.4641,2.515161,2.515161,-7.029526,-7.849244,0.25,-694.3531,55.8103,0,-0.3295,0,-0.9442,41.4431,0,1,0,0,0.9442,0,-0.3295,-667.4641,0,0,0,1
166.6657,41.20715,0,-667.5468,2.517302,2.517302,-7.029526,-7.849244,0.25,-694.3531,55.56354,0,-0.3307,0,-0.9438,41.2072,0,1,0,0,0.9438,0,-0.3307,-667.5468,0,0,0,1
166.6777,40.97132,0,-667.6297,2.519118,2.519118,-7.029526,-7.849244,0.25,-694.3531,55.31675,0,-0.3318,0,-0.9433,40.9713,0,1,0,0,0.9433,0,-0.3318,-667.6297,0,0,0,1
