experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,turn_direction,turn_radius,obstacle_visibility,divergence,speed_level,speed_LvCounter,carSpeed,steerAngleAtTrialStart,x_rotAtTrialStart,y_rotAtTrialStart,z_rotAtTrialStart,cws_threshold_detection_distance,cws_warning_volume,cws_sensing_type,cws_warning_type,collision_has_occurred,time_of_collision,time_of_warning,road_vertices_location_0,roadTransformMat_location_0,simplecar_carTransformMatrix_location_0
cws_1,test,1,1,2,1,26.22,31.63,right,50.1129,0.5,1.19,0,0,25,0.206909,0,0.005862,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_1/test/S001/trackers/road_vertices_T001.csv,cws_1/test/S001/trackers/roadTransformMat_T001.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T001.csv
cws_1,test,1,2,2,2,32.41,38.02,right,43.18018,0.2,1.07,0,1,25,1.481352,0,0.545638,0,20,0.5,distance_threshold,auditory loom,False,NaN,37.75761,cws_1/test/S001/trackers/road_vertices_T002.csv,cws_1/test/S001/trackers/roadTransformMat_T002.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T002.csv
cws_1,test,1,3,2,3,38.8,44.44,right,58.88199,0,0.8,1.5,0,25,-0.067749,0,0.955487,0,20,0.5,distance_threshold,auditory loom,False,NaN,44.16596,cws_1/test/S001/trackers/road_vertices_T003.csv,cws_1/test/S001/trackers/roadTransformMat_T003.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T003.csv
cws_1,test,1,4,2,4,45.22,49.95,left,59.5071,0,1.14,1.5,1,25,-2.700849,0,0.980342,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_1/test/S001/trackers/road_vertices_T004.csv,cws_1/test/S001/trackers/roadTransformMat_T004.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T004.csv
cws_1,test,1,5,2,5,50.73,55.47,left,59.5071,0,1.65,3,0,25,-2.415197,0,0.958346,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_1/test/S001/trackers/road_vertices_T005.csv,cws_1/test/S001/trackers/roadTransformMat_T005.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T005.csv
cws_1,test,1,6,2,6,56.25,60.78,right,43.18018,0.2,2.71,3,1,25,-1.1957,0,0.70831,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_1/test/S001/trackers/road_vertices_T006.csv,cws_1/test/S001/trackers/roadTransformMat_T006.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T006.csv
cws_1,test,1,7,2,7,61.56,66.42,left,64.41756,0.5,2.04,4.5,0,25,-1.290915,0,0.991982,0,20,0.5,distance_threshold,auditory loom,False,NaN,66.08971,cws_1/test/S001/trackers/road_vertices_T007.csv,cws_1/test/S001/trackers/roadTransformMat_T007.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T007.csv
cws_1,test,1,8,2,8,67.2,72.11,left,64.41756,0.5,1.74,4.5,1,25,0.921035,0,0.846076,0,20,0.5,distance_threshold,auditory loom,False,NaN,71.79834,cws_1/test/S001/trackers/road_vertices_T008.csv,cws_1/test/S001/trackers/roadTransformMat_T008.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T008.csv
cws_1,test,1,9,2,9,72.89,77.81,right,58.88199,0,1.36,6,0,25,-1.192038,0,0.531249,0,20,0.5,distance_threshold,auditory loom,False,NaN,77.48492,cws_1/test/S001/trackers/road_vertices_T009.csv,cws_1/test/S001/trackers/roadTransformMat_T009.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T009.csv
cws_1,test,1,10,2,10,78.59,83.28,left,59.5071,0,0.33,6,1,25,-1.166396,0,0.863001,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_1/test/S001/trackers/road_vertices_T010.csv,cws_1/test/S001/trackers/roadTransformMat_T010.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T010.csv
cws_1,test,1,11,2,11,84.06,88.64,right,50.1129,0.5,1.89,7.5,0,25,1.690092,0,0.534787,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_1/test/S001/trackers/road_vertices_T011.csv,cws_1/test/S001/trackers/roadTransformMat_T011.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T011.csv
cws_1,test,1,12,2,12,89.42,95.18999,right,43.18018,0.2,1.05,7.5,1,25,1.334853,0,0.906467,0,20,0.5,distance_threshold,auditory loom,False,NaN,94.87745,cws_1/test/S001/trackers/road_vertices_T012.csv,cws_1/test/S001/trackers/roadTransformMat_T012.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T012.csv
cws_1,test,1,13,2,13,95.97,101.86,right,58.88199,0,1.11,9,0,25,0.056763,0,0.96762,0,20,0.5,distance_threshold,auditory loom,False,NaN,101.5523,cws_1/test/S001/trackers/road_vertices_T013.csv,cws_1/test/S001/trackers/roadTransformMat_T013.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T013.csv
